ngram,doc_id,span,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Jian,244,Jian Shu,0.0,0.0,1,413,378,0.0,1.0,0.0,0.0,0.0,0.0,12161133495277023038,0,95,15794550382381185553,0.0,8206900633647566924,0,1.0,0.0,0.0,0.0,0.0,2091227070260480486,0,99,17109001835818727656,413,378,1,0.0,0.0,0.0,0.0,0.0,13833544905887217954,0,95,15794550382381185553
Jian Shu,244,Jian Shu,0.0,0.0,2,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,8206900633647566924,0,1.0,0.0,0.0,0.0,0.0,2091227070260480486,0,99,17109001835818727656,413,378,1,0.0,0.0,0.0,0.0,0.0,13833544905887217954,0,95,15794550382381185553
Shu,244,Jian Shu,0.0,0.0,1,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,13833544905887217954,0,95,15794550382381185553,413,378,1,0.0,0.0,0.0,0.0,0.0,13833544905887217954,0,95,15794550382381185553
Baili,244,Baili Xi,0.0,0.0,1,407,378,0.0,1.0,0.0,0.0,0.0,0.0,11314802059826114770,0,95,15794550382381185553,0.0,404,0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,407,378,2,0.0,0.0,0.0,0.0,0.0,11565973986337881904,0,95,15794550382381185553
Baili Xi,244,Baili Xi,0.0,0.0,2,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,404,0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,407,378,2,0.0,0.0,0.0,0.0,0.0,11565973986337881904,0,95,15794550382381185553
Xi,244,Baili Xi,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,11565973986337881904,0,95,15794550382381185553,407,378,2,0.0,0.0,0.0,0.0,0.0,11565973986337881904,0,95,15794550382381185553
No,244,No one,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,1.0,17454115351911680600,0,91,15308085513773655218,0.0,442,0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,4969857429396651903,426,0,4,0.0,0.0,0.0,0.0,0.0,13055779130471031426,0,89,15267657372422890137
Zheng,244,Zheng 's secrets,0.0,0.0,1,8110129090154140942,0,1.0,0.0,0.0,0.0,0.0,0.0,16428057658620181782,0,93,74,0.0,396,0,1.0,0.0,0.0,0.0,0.0,922631143178789688,0,99,9188597074677201817,413,378,1,0.0,0.0,0.0,0.0,0.0,10795587487264768256,0,95,15794550382381185553
Zheng,244,Zheng,0.0,0.0,1,440,0,0.0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,0.0,405,0,1.0,0.0,0.0,0.0,0.0,4201870561030741218,0,99,1534113631682161808,413,378,6,1.0,0.0,0.0,0.0,0.0,10795587487264768256,0,95,15794550382381185553
The,244,The idea,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,0.0,5566782022517605861,0,91,15308085513773655218,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
The,225,The reason,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,0.0,8276932932706964455,0,91,15308085513773655218,0.0,442,0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,4969857429396651903,426,0,0,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Yan,225,Yan,0.0,0.0,1,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,426,0,1.0,0.0,0.0,0.0,0.0,8276932932706964455,0,91,15308085513773655218,400,378,1,1.0,0.0,0.0,0.0,0.0,9657106461113395361,0,95,15794550382381185553
Qin,225,Qin,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,18307573501153647118,0,99,16235386156175103506,0.0,404,0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,407,378,2,1.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Zhao,225,Zhao,0.0,0.0,1,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,446,0,1.0,0.0,0.0,0.0,0.0,9652614884489271923,0,99,14200088355797579614,413,378,5,1.0,0.0,0.0,0.0,0.0,1432046011997238756,0,95,15794550382381185553
Yellow,225,the Yellow and Zhang rivers,0.0,0.0,1,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,412,0,1.0,0.0,0.0,0.0,1.0,7425985699627899538,0,89,15267657372422890137,436,0,8,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Zhang,225,the Yellow and Zhang rivers,0.0,0.0,1,436,0,0.0,1.0,0.0,0.0,0.0,0.0,9103378528718840401,0,91,783433942507015291,0.0,404,0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,436,0,8,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Your,225,Your Majesty,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,0.0,14255639882088905732,0,95,15794550382381185553,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,561228191312463089,0,83,4062917326063685704
Your Majesty,225,Your Majesty,0.0,0.0,2,402,0,0.0,1.0,0.0,0.0,0.0,1.0,6992604926141104606,0,99,16235386156175103506,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,561228191312463089,0,83,4062917326063685704
Majesty,225,Your Majesty,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,6992604926141104606,0,99,16235386156175103506,0.0,437,0,1.0,0.0,0.0,0.0,0.0,561228191312463089,0,83,4062917326063685704,426,0,0,0.0,0.0,0.0,0.0,0.0,561228191312463089,0,83,4062917326063685704
I,225,I,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,6635067063807956629,0,99,16235386156175103506,0.0,420,0,1.0,0.0,0.0,0.0,1.0,9781598966686434415,0,84,1292078113972184607,426,0,3,1.0,0.0,0.0,0.0,0.0,561228191312463089,0,94,13656873538139661788
Qin,225,Qin 's territory,0.0,0.0,1,8110129090154140942,0,1.0,0.0,0.0,0.0,0.0,0.0,16428057658620181782,0,93,74,0.0,396,0,1.0,0.0,0.0,0.0,0.0,12812883999444529974,0,99,14200088355797579614,413,378,4,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
I,225,I,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,18307573501153647118,0,99,16235386156175103506,0.0,397,0,1.0,0.0,0.0,0.0,0.0,2630753287402592467,0,85,164681854541413346,426,0,0,1.0,0.0,0.0,0.0,0.0,561228191312463089,0,94,13656873538139661788
Qin,225,Qin,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,93,5595707737748328492,0.0,8206900633647566924,0,1.0,0.0,0.0,0.0,0.0,203487227105936704,0,99,14200088355797579614,413,378,1,1.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Prince,225,Prince Dan,1.0,0.0,1,413,378,0.0,1.0,0.0,0.0,0.0,0.0,6114169112215630325,0,95,15794550382381185553,0.0,446,0,1.0,0.0,0.0,0.0,0.0,6965176418496841198,0,99,14200088355797579614,413,0,2,0.0,0.0,0.0,0.0,0.0,12278543830867659210,0,95,15794550382381185553
Prince Dan,225,Prince Dan,1.0,0.0,2,397,0,0.0,1.0,0.0,0.0,0.0,1.0,15255859468896132977,0,85,164681854541413346,0.0,446,0,1.0,0.0,0.0,0.0,0.0,6965176418496841198,0,99,14200088355797579614,413,0,2,0.0,0.0,0.0,0.0,0.0,12278543830867659210,0,95,15794550382381185553
Dan,225,Prince Dan,0.0,0.0,1,397,0,0.0,1.0,0.0,0.0,0.0,1.0,15255859468896132977,0,85,164681854541413346,1.0,7037928807040764755,0,1.0,0.0,0.0,0.0,0.0,12278543830867659210,0,95,15794550382381185553,413,0,2,0.0,0.0,0.0,0.0,0.0,12278543830867659210,0,95,15794550382381185553
Yan,225,Yan,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,440,0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,84,1292078113972184607,436,378,3,1.0,0.0,0.0,0.0,0.0,9657106461113395361,0,95,15794550382381185553
