ngram,doc_id,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,sentence_id,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
I,225,0,0,1,402,0,0,True,False,False,False,True,18307573501153647118,0,99,16235386156175103506,0,397,0,True,False,False,False,False,2630753287402592467,0,85,164681854541413346,2,426,0,0,1,0,0,0,0,561228191312463089,0,94,13656873538139661788
Qin,225,0,0,1,402,0,0,True,False,False,False,True,3791531372978436496,0,93,5595707737748328492,0,8206900633647566924,0,True,False,False,False,False,203487227105936704,0,99,14200088355797579614,2,413,378,1,1,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Prince,225,0,0,1,413,378,0,True,False,False,False,False,6114169112215630325,0,95,15794550382381185553,0,446,0,True,False,False,False,False,6965176418496841198,0,99,14200088355797579614,2,413,0,2,0,0,0,0,0,12278543830867659210,0,95,15794550382381185553
Prince Dan,225,0,0,2,397,0,0,True,False,False,False,True,15255859468896132977,0,85,164681854541413346,0,446,0,True,False,False,False,False,6965176418496841198,0,99,14200088355797579614,2,413,0,2,0,0,0,0,0,12278543830867659210,0,95,15794550382381185553
Dan,225,0,0,1,397,0,0,True,False,False,False,True,15255859468896132977,0,85,164681854541413346,0,7037928807040764755,0,True,False,False,False,False,12278543830867659210,0,95,15794550382381185553,2,413,0,2,0,0,0,0,0,12278543830867659210,0,95,15794550382381185553
Yan,225,0,0,1,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,440,0,True,False,False,False,True,3791531372978436496,0,84,1292078113972184607,2,436,378,3,1,0,0,0,0,9657106461113395361,0,95,15794550382381185553
Qin,225,0,0,1,402,0,0,True,False,False,False,True,6635067063807956629,0,99,16235386156175103506,0,404,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,2,426,378,4,1,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Zhao,225,0,0,1,440,0,0,True,False,False,False,True,3002984154512732771,0,84,1292078113972184607,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,2,436,378,6,1,0,0,0,0,1432046011997238756,0,95,15794550382381185553
Yan,225,0,0,1,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,399,0,True,False,False,False,False,15297485476841041274,0,83,10554686591937588953,2,413,0,7,0,0,0,0,0,11901859001352538922,0,89,15267657372422890137
Qin,73,0,0,1,426,378,0,True,False,False,False,False,8605206886949496001,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,0,426,378,0,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Qin Zhong,73,0,0,2,8206900633647566924,0,0,True,False,False,False,True,14692702688101715474,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,0,426,378,0,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Zhong,73,0,0,1,8206900633647566924,0,0,True,False,False,False,True,14692702688101715474,0,99,17109001835818727656,0,7037928807040764755,378,True,False,False,False,False,11615090310102915393,0,95,15794550382381185553,0,426,378,0,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Duke,73,1,0,1,401,378,0,True,False,False,False,False,5929456468329207955,0,95,15794550382381185553,0,7972625988311165362,0,True,False,False,False,True,12558846041070486771,0,99,17109001835818727656,0,401,378,3,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,1,0,2,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,7972625988311165362,0,True,False,False,False,True,12558846041070486771,0,99,17109001835818727656,0,401,378,3,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
