A_id,B_id
2864,589
2867,2661
2870,2827
2870,2438
2870,1428
2870,1571
2873,1492
2873,2624
2876,2729
2876,165
2876,960
2876,839
2876,1068
2885,2998
2888,1302
2897,2665
290,2695
290,2957
290,2330
2900,505
2903,2604
2903,2330
2903,284
2903,808
2903,248
2903,1391
2903,7
2906,2330
2906,2729
2906,2604
2906,248
2906,534
2906,7
2915,2513
2915,95
2918,2022
2924,2330
2924,205
2924,325
2924,313
2927,2957
2927,2741
2930,96
2933,2827
2936,2101
2942,754
2942,1440
2942,6
2954,2661
2966,1811
2966,945
2966,2879
2966,2661
2966,2101
2969,828
2972,1149
2981,1
2987,1563
2987,1258
299,918
2993,2707
3002,2050
302,813
305,2736
317,806
335,1613
344,2330
344,2957
347,2879
347,2661
356,2661
368,2330
371,2912
38,2330
386,1414
398,2879
398,2671
398,2661
404,2530
41,2661
413,945
413,2879
413,2661
419,1553
425,2769
425,2695
428,484
428,56
428,1723
431,1032
434,81
437,1406
44,2101
44,2222
440,2879
440,2661
440,945
446,2661
446,945
449,1470
455,2497
458,2330
461,2330
461,2695
464,1789
470,2330
470,2957
470,311
482,2330
485,2811
491,196
50,328
512,2695
512,2330
524,2623
548,1553
551,945
551,2879
551,2661
569,703
569,36
572,2330
578,2649
578,2330
578,2604
578,2957
578,63
578,284
578,7
578,248
578,1047
578,205
578,1391
578,808
578,325
593,774
596,709
605,2957
605,2330
608,29
611,1440
617,152
620,2774
623,288
638,2330
650,2957
650,2330
656,2736
692,992
695,461
701,36
701,703
704,2879
704,2661
704,945
704,1302
707,1794
710,2330
710,872
713,1553
716,2330
719,1960
725,1321
734,2736
737,1691
74,2078
740,1854
743,2101
746,1155
746,1302
749,902
752,2330
752,2957
752,2438
752,1278
758,691
767,137
77,1876
773,786
779,2438
779,2827
779,1571
794,2455
794,357
794,36
8,2879
8,2330
8,2661
8,945
80,317
806,2729
806,1719
806,808
806,703
806,939
806,36
812,1553
812,712
812,668
83,124
842,2330
845,945
845,2879
845,2661
851,2648
869,1302
884,2330
884,2604
884,248
884,7
884,1391
884,808
896,1553
911,2957
911,2330
914,2330
914,2957
947,1374
968,2101
989,1490
1002,405
1008,1915
1014,2879
1014,2047
1014,2661
1026,325
1026,808
1026,2330
1026,2957
1029,1578
1035,2330
1041,1553
1041,668
1041,1302
1044,2957
1044,2330
105,747
1056,325
1056,7
1056,1391
1056,2729
1056,2330
1068,530
1071,2695
