movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1647,Wind River,2017,,87%,90%,111 minutes,"Drama, Mystery & Suspense",R,,Taylor Sheridan,"Jeremy Renner, Elizabeth Olsen, Kelsey Asbille, Gil Birmingham, Graham Greene (II), James Jordan, Jon Bernthal, Julia Jones, Martin Sensmeier, Teo Briones, Apesanahkwat, Tantoo Cardinal, Eric Lange, Althea Sam, Tokala Clifford, Tyler Laracca, Shane Cullen, Dallin Tusieseina, Austin R. Grant, Ian Bohen, Hugh Dillion, Matthew Del Negro, Gabe Casdorph, Mason Davis, Chris Romrell, Blake Robbins, Norman Lehnert, Ian Roylance",Taylor Sheridan
1648,Three Identical Strangers,2018,,96%,88%,96 minutes,Documentary,PG-13,,Tim Wardle,,
1649,Catfight,2017,,73%,43%,96 minutes,Comedy,NR,,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone, Tituss Burgess, Amy Hill, Damian Young, Dylan Baker",Onur Tukel
1650,Exposed,2016,,8%,16%,102 minutes,"Drama, Mystery & Suspense",R,,Gee Malik Linton,"Ana de Armas, Keanu Reeves, Christopher McDonald, Big Daddy Kane, Mira Sorvino, Gabe Vargas, Venus Ariel, Michael Rispoli, Ismael Cruz Córdova, Jeanette Dilone, Denia Brache, Ariel Rolando Pacheco, Melissa Cardello Linton, Sandy Tejada, Anthony Ruiz, Stephen Thompson, Danny Guzman, Leopold Manswell, Justice Quiroz, Juan Pablo González, Gilbert Cruz, Clara Wong, Louis Martinez, Amaurys Rodriguez, Hortensia Colorado, Daniel Ojeda Astigarraga, Shirley Roeca, Jewel Donohue, Monte Greene, Nelson Landrieu, Julissa Roman, Andrew Polk, Danny Hoch",Gee Malik Linton
1651,Woodshock,2017,,24%,28%,101 minutes,Drama,R,,"Kate Mulleavy, Laura Mulleavy","Kirsten Dunst, Joe Cole, Pilou Asbæk","Kate Mulleavy, Laura Mulleavy"
1652,The Happy Prince,2019,,70%,53%,105 minutes,Drama,R,,Rupert Everett,"Rupert Everett, Colin Firth, Colin Morgan, Edwin Thomas, Emily Watson, Tom Wilkinson, Anna Chancellor",Rupert Everett
1653,Vice,2015,,4%,15%,96 minutes,"Action & Adventure, Science Fiction & Fantasy",R,,Brian A. Miller,"Thomas Jane, Bruce Willis, Ambyr Childers, Brett Granstaff, Charlotte Kirk, Ryan O'Nan, Bryan Greenberg, Johnathon Schaech, David Gordon, Colin Egglesfield, Cameron Brexler, Jesse Pruett, Tyler Olson, Don Harvey, Nikki BreAnne Wells, Douglas M. Griffin, Martin Blencowe, Damon Lipari, Ashley Kirk, Heather Alexandra, Ric Miller, Tamara Belous, Courtney Turk, Emily June Ellis, Eddie Matthews, Grant Koo, Gene Murrell, Stephen Cyrus Sepher, Geoff Reeves, Valerie Theobald, Valerie Theobaldt, Rachel Lantham","Jeremy Passmore, Fabrizio De Andre"
1654,God's Not Dead: A Light in Darkness,2018,,11%,53%,120 minutes,Drama,PG,,Michael Mason,"Jennifer Taylor, John Corbett, Ted McGinley, Tatum O'Neal, Shane Harper, David A.R. White, Gregory Alan Williams, Mike C. Manning, Samantha Boscarino, Shwayze",Michael Mason
1655,A Star Is Born,2019,,89%,80%,135 minutes,Drama,R,,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Dave Chappelle, Rafi Gavron, Anthony Ramos, Alec Baldwin, Marlon Williams, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field","Will Fetters, Eric Roth, Bradley Cooper"
1656,The Lullaby,2018,,64%,80%,96 minutes,Horror,NR,,Darrell Roodt,"Brandon Auret, Reine Swart, Deànré Reiners, Thandi Puren, Dorothy Ann Gould",Tarryn-Tanille Prinsloo
