movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
0,Breaking A Monster,2016,,100%,56%,92 minutes,Documentary,NR,,Luke Meyer,"Malcolm Brickhouse, Alec Atkins, Jarad Dawkins, Alan Sacks, Nile Rodgers, Jimmy Webb, Q-Tip, Samantha Sacks, Alex Suarez, Annette Van Duren, Douglas Wimbish","Luke Meyer, Brad Turner"
1,Annie,2015,,28%,59%,118 minutes,"Drama, Kids & Family, Musical & Performing Arts",PG,,Will Gluck,"Jamie Foxx, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith, Amanda Troya, Dorian Missick, Tracie Thoms, Mike Birbiglia, Quvenzhane Wallis, Stephanie Kurtzuba, Peter Van Wagner, Ray Iannicelli, Michael J. Fox, Jill Nicolini, Raushanna Simmons, Brad Bong, Andrew Fleming, Ty Jones, Jessica Sherr, Donnamarie Recco, Víctor Cruz, Mimi Bessette, Ryan DeLuca, Danny Flaherty, Gordon Joseph Weiss, Patricia Clarkson, Brendan Burke, Allison Jean White, Sia, Taryn Gluck, Alexandra Gluck, Derrick Baskin, Pernell Walker, Lannon Killea, Molly Prather, Bobby Moynihan, Mila Kunis, Ashton Kutcher, Rihanna, Scarlett Benchley, Pat Kiernan, Beth Rowe, Lytle Harper, Brittany Connors, Aldous Davidson, Lance Kerfuffle, Kevin Cannon, J. Kaitlin Becker, Alan Purwin, Ben Skorstad, Gia Henderson, Mark Whitfield, Matthew Rush Sullivan, Sade DeMorcy, Brittany Parks, Emma Wetzel, Hannah Green, Joseph Mancini, Alex Rubiano, Eliza David, Tymell Hubbard, Josh Price, Sofia Rubino","Will Gluck, Emma Thompson, Aline Brosh McKenna"
2,Smallfoot,2018,,76%,63%,109 minutes,"Action & Adventure, Animation, Comedy, Kids & Family",PG,,Karey Kirkpatrick,"Channing Tatum, James Corden, Zendaya, Common, LeBron James, Danny DeVito, Gina Rodriguez, Yara Shahidi, Ely Henry, Jimmy Tatro, Patricia Heaton, Justin Roiland, Jack Quaid","Karey Kirkpatrick, Clare Sera, John Requa, Glenn Ficarra"
3,The Revival,2018,,75%,47%,84 minutes,"Drama, Gay & Lesbian",NR,,Jennifer Gerber,"David Rysdahl, Zachary Booth, Ray McAnally, Lucy Faust, Stephen Ellis",Samuel Brett Williams
4,The New Radical,2017,,58%,67%,117 minutes,Documentary,NR,,Adam Bhala Lough,"Cody Wilson, Amir Taaki",Adam Bhala Lough
5,Feminists: What Were They Thinking?,2018,,80%,71%,86 minutes,Documentary,NR,,Johanna Demetrakas,"Jane Fonda, Lily Tomlin, Judy Chicago, Laurie Anderson",
6,Papadopoulos & Sons,2015,,71%,52%,105 minutes,"Art House & International, Comedy, Drama",NR,,"Marcus Markou, Markos Markou","Stephen Dillane, Cosima Shaw, Georges Corraface, Thomas Underhill, Frank Dillane, Georgia Groome, Ed Stoppard, Selina Cadell","Marcus Markou, Markos Markou"
7,The Last King,2016,,89%,44%,99 minutes,"Action & Adventure, Art House & International, Drama",R,,Nils Gaup,"Kristofer Hivju, Nikolaj Lie Kaas, Jakob Oftebro, Thorbjørn Harr, Benjamin Helstad, Pål Sverre Hagen, Anders Dahlberg, Jeppe Beck Laursen, Stig Henrik Hoff, Elg Elgesem, Asmund Brede Eike, Adam Nemet, Jon Inge Nordnes, Thea Sofie Loch Naess, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Ravn Lanesskog
8,The Newspaperman: The Life and Times of Ben Bradlee,2017,,94%,85%,89 minutes,Documentary,NR,,John Maggio,"Bob Woodward, Carl Bernstein, Courtland Milloy, David Maraniss, David Remnick, Don Graham, George Vaillant, Henry Kissinger, Ben Bradlee Jr., Jim Hoagland, Jim Lehrer, Norman Lear, Richard Cohen, Robert Kaiser, Robert Redford, Sally Bedell Smith, Sally Quinn, Tina Brown, Tom Brokaw",
9,Train to Busan (Busanhaeng),2017,,95%,88%,118 minutes,"Action & Adventure, Art House & International, Horror, Mystery & Suspense",NR,,Yeon Sang-ho,"Yoo Gong, Yumi Jung, Ma Dong-seok, Kim Eui-sung, Kim Soo-ahn, Woo-sik Choi, So-hee Ahn, Kim Chang-hwan, Jang Hyeok-jin, Kim Yool-ho",Yeon Sang-ho
10,Mile 22,2018,,22%,44%,90 minutes,Action & Adventure,R,,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, Ronda Rousey, Terry Kinney, John Malkovich, Emily Skeggs, Poorna Jagannathan, Chae Rin Lee, Sam Medina, Carlo Alban, Natasha Goubskaya, Keith Arthur Bolden, Jenique Hendrix, Billy Smith, Myke Holmes, Brandon Scales, Peter Berg, Elle Graham, Nikolai Nikolaeff, Ariel Felix, Tom Astor, Kate Rigg, Lourdes Perea, Tatiana Ronderos, David Garelik, Alla Greene, Vince Canlas, Sean Avery, Mark Freeman Schotz, Scott Kasson, Anthony Ace Thomas, Tory Bryant, Rafael Alfredo Caviedes Silva, Juan Carlos Henao Jimenez, Guillermo Ramirez Navia, Dale Zaboroskie, Dwayne A. Dorsey, Esteban Santos, Amanda Cabigting, Cedric Gervais, Trevor Gretzky, Richard Lee Rutherford, Breeanna N. Jackson, Artem Lyashenko, Tetyana Nickell, Vailana Antonucci, Stuart M. Besser, Ricardo Martínez, Juan Carlos Ortega, Isabella Garcia, Alexandra Vino",Lea Carpenter
11,Lila & Eve,2015,,40%,41%,94 minutes,Drama,R,,Charles Stone III,"Viola Davis, Jennifer Lopez, Aml Ameen, Andre Royo, Shea Whigham, Chris Chalk, Julius Tennon, Yolonda Ross, Diarra Kilpatrick, Ron Caldwell, Michole Briana White, Whitney Goin, Gwendolyn Mulamba, Elisa Perry, Will Brittain, Germaine Brooks, Quinton Garvin, Tedd Williams, Rey Hernandez, Maia Moss-Fife, Scott Poythress, Merry Jo Cortada, Gino Vento, Ian Casselberry, David Devries, Marisela Zumbado, Atkins Estimond","Pat Gilfillan, Patrick Gilfillan"
12,Love Beats Rhymes,2017,,50%,69%,106 minutes,"Drama, Musical & Performing Arts",R,,RZA,"Azealia Banks, Jill Scott, Lucien Laviscount, Lorraine Toussaint, Hana Mae Lee, John David Washington, Common",Nicole Jefferson Asher
13,Citizen Jane: Battle for the City,2017,,94%,69%,92 minutes,Documentary,NR,,Matt Tyrnauer,Jane Jacobs,
14,The Little Vampire 3D,2018,,14%,54%,82 minutes,"Action & Adventure, Animation, Art House & International, Comedy",NR,,"Richard Claus, Karsten Kiilerich","Jim Carter, Rasmus Hardiker, Alice Krige, Tim Pigott-Smith, Miriam Margolyes, Matthew Marsh, Joseph Kloska, Phoebe Givron-Taylor","Angela Sommer-Bodenburg, Larry Wilson, Richard Claus"
15,Busco Novio Para Mi Mujer,2016,,78%,68%,92 minutes,Comedy,PG-13,,Enrique Begne,"Sandra Echeverría, Arath de la Torre, Jesús Ochoa, Alejandro Cuétara, Mauricio Isaac, Yago Munoz, Mónica Huarte, Juan Carlos Colombo, Jade Fraser, Jorge Zárate, Verónica Falcón",Pablo Solariz
16,John Wick,2015,,87%,80%,96 minutes,Action & Adventure,R,,"David Leitch, Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki, Bridget Moynahan, Dean Winters, Ian McShane, John Leguizamo, Willem Dafoe, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Regan, Lance Reddick, Keith Jardine, Tait Fletcher, Kazy Tauginas, Alexander Frekey, Thomas Sadoski, Randall Duk Kim, David Patrick Kelly, Clarke Peters, Kevin Nash, Gameela Wright, Vladislav Koulikov, Munro M. Bonnell, Patricia Squire, Vladimir Troitsky","Joel Zadak, Derek Kolstad"
17,Teenage Cocktail,2018,,100%,53%,88 minutes,Drama,NR,,John Carchietta,"Fabianne Therese, Joshua Leonard, Michelle Borth, Nichole O'Connor, AJ Bowen, Pat Healy","Sage Bannick, Chris Sivertson, John Carchietta"
18,Anti Matter,2017,,85%,79%,105 minutes,"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",NR,,Keir Burrows,"Yaiza Figueroa, Philippa Carson, Tom Barber-Duffy, Noah Maxwell Clarke, James Farrar (III), Yolanda Vazquez, Casey Lawler, Harrie Hayes, Holly Joyce, Julia Savill, Rachel Waring, Joseph Teague, Molly Bas, Dan Shelton, Adrian Tauss, Charlotte Victoria, Jessica Perchard",Keir Burrows
19,Every Act of Life,2018,,88%,,92 minutes,Documentary,NR,,Jeff Kaufman,"F. Murray Abraham, Lynn Ahrens, Jon Robin Baitz, Christine Baranski, Zoe Caldwell, Angela Lansbury, Bryan Cranston, Meryl Streep, Rita Moreno",Jeff Kaufman
20,11 Minutes (11 Minut),2016,,71%,36%,81 minutes,"Art House & International, Drama, Mystery & Suspense",NR,,Jerzy Skolimowski,"Richard Dormer, Paulina Chapko, Wojciech Mecwaldowski, Andrzej Chyra, Anna Maria Buczek, Dawid Ogrodnik, Agata Buzek, Piotr G?owacki, Anna Buczek, Jan Nowicki, Lukasz Sikora, Ifi Ude, Mateusz Kosciukiewicz, Grazyna Blecka-Kolska, Marta Dabrowska, Janusz Chabior, Grzegorz Goch, Elzbieta Jodlowska, Magdalena Mirek, Elzbieta Matynia, Katarzyna Michalska, Miroslaw Zbrojewicz, Kamila Gorska, Diana Zamojska, Ryszard Ronczewski, David L. Price, David Price",Jerzy Skolimowski
21,The Revenant,2016,,78%,84%,156 minutes,"Action & Adventure, Drama",R,,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson (XVIII), Lukas Haas, Melaw Nakehk'o, Brad Carter, Brendan Fletcher, Kristoffer Joner, Grace Dove Syme, Kory Grim, Dave Burchill, Christopher Rosamund, Robert Moloney, Vincent Leclerc, Joshua Burge, Christopher Rosamond, Chris Ippolito, Mark Krysko, McCaleb Burnett, Duane Howard, Fabrice Adde, Arthur Redcloud, Tyson Wood, Stephane Legault, Amelia Crow Shoe, Emmanuel Bilodeau, Peter Strand Rumple, Cole Vandale, Tom Guiry, Scott Olynek, Jamie Medicine Crane, Timothy Lyle, Chesley Wilson, Veronica Marlowe, Clarence Hoof, Adrian McMorran, Alexandre Bisping, Dion Little Child, C. Adam Leigh, Blake Wildcat, Paul Young Pine, Javiar Lopez, Cody Big Tobacco, Haysam Kadri, Dallas Young Pine, Anthony Starlight, Michael Fraser, Scott Duncan, Mariah Old Shoes, Isaiah Tootoosis, Jeffrey Olynek, Kevin Corey, Daniel Rampanen, Jordan Crawford","Mark L. Smith, Alejandro González Iñárritu"
22,Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer),2017,,89%,57%,118 minutes,Drama,R,,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Charlotte Gainsbourg, Dan Stevens (IV), Steve Buscemi, Hank Azaria, Josh Charles, Yehuda Almagor, Neta Riskin, Dov Glickman, Isaach De Bankolé, Miranda Bailey, Scott Shepherd, Azi Schwartz, Jonathan Avigdori, Caitlin O'Connell, Harris Yulin, Andrew Polk, George Pupo, Maryann Urbano, Jay Patterson, D.C. Anderson, Yuval Boim, Davidé Borella",Joseph Cedar
23,Zero Motivation,2015,,87%,77%,90 minutes,Drama,NR,,Talya Lavie,"Dana Ivgy, Nelly Tagar, Shani Klein, Heli Twito, Meytal Gal",Talya Lavie
24,Batman v Superman: Dawn of Justice,2016,,27%,63%,151 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Diane Lane, Laurence Fishburne, Gal Gadot, Jesse Eisenberg, Jeremy Irons, Ray Fisher, Jason Momoa, Holly Hunter, Scoot McNairy, Callan Mulvey, Tao Okamoto, Brandon Spink, Mark Edward Taylor, Lauren Cohan, Alan Purwin, Hugh Maguire, Michael Shannon, Hanna Dworkin, Tiffany Addison, Owais Ahmed, Anish Jethmalani, Tiffany Bedwell, Keith D. Gallagher, Natalee Arteaga, Ripley Sobo, Richard Burden, Julius Tennon, Jeff Dumas, Miriam Lee, Sammi Rotibi, Michael Cassidy, Alicia Regan, Wunmi Mosaku, Dennis North, Matahi Drollet, Mormon Maitui, Kiff VandenHeuvel, Mason Heidger, Taraina Sanford, Whitney Yang, Kristine Cabanban, Sebastian Sozzi, Kent Shocknek, Ralph Lister, Sammy Publes, Jay Adams, Julia Glander, Rebecca Buller, Michael D. Ellison, Kirill Ostapenko, Cleve McTier, Rashontae Wawrzyniak, Harry Lennix, Christina Wren, Tom Luginbill, David Midura, Dave Pasch, Danny Mooney, Henry Frost, Jay Towers, Nicole Forester, Debbie Stabenow, Jade Chynoweth, Bevin Kowal, Aida Munoz, Vikram Gandhi, Andrew Sullivan, Charlie Rose, Chad Krowchuk, Dr. Neil deGrasse Tyson, Milica Govich, John Lepard, Sandra Love Aldridge, Soledad O'Brien, Carmen Ayala, Chris Newman, Josh Carrizales, Dana Bash, James Quesada, Lulu Dahl, John Seibert, Sam Logan Khaleghi, Connie Craig, Patrick Leahy, Carla Gugino, David Dailey Green, Madison Autumn Mies, Thomas M. Taylor, Graham W.J. Beal, Henri Franklin, Jonathan West, T.J. Martinelli, Thom Kikot, Liam Tailford, Zachary JI Schafer, Monrico Ward, Anne Marie Damman, Henrietta Hermelin","Zack Snyder, David S. Goyer, Chris Terrio"
25,Maze Runner: The Death Cure,2018,,43%,59%,114 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",PG-13,,Wes Ball,"Dylan O'Brien (II), Kaya Scodelario, Thomas Sangster, Rosa Salazar, Giancarlo Esposito, Dexter Darden, Aidan Gillen, Ki Hong Lee, Barry Pepper, Patricia Clarkson, Walton Goggins",T.S. Nowlin
26,A Little Chaos,2015,,47%,48%,116 minutes,"Art House & International, Drama",R,,Alan Rickman,"Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Jennifer Ehle, Thomas Allam, Hope Hancock, Isabella Steinbarth, Hal Hewetson, Carolina Valdés, Eleanor Montgomery, Danny Webb, Cathy Belton, Steven Waddington, Adrian Scarborough, Adrian Schiller, Ben Fox, Morgan Watkins, Angus Wright, Alistair Petrie, Mia Threapleton, Rupert Penry-Jones, Henry Garrett, Jamie Bradley, Andrea Paula Paul, Richard Heap, Lois Wright, David Foxxe, Fidelis Morgan, William Spray, Pauline Moran, Michelle Newell, Kirsty Oswald, Phyllida Law, Ben Roberts, John Wark, Kristin Milward, Robin Hooper, Adam James, William Allam","Alison Deegan, Jeremy Brock, Alan Rickman"
27,Extinction,2018,,38%,48%,95 minutes,"Mystery & Suspense, Science Fiction & Fantasy",NR,,Ben Young,"Michael Peña, Lizzy Caplan, Mike Colter, Israel Broussard, Erica Tremblay",Spenser Cohen
28,Wild,2015,,89%,75%,115 minutes,Drama,R,,Jean-Marc Vallée,"Reese Witherspoon, Thomas Sadoski, Michiel Huisman, W. Earl Brown, Gaby Hoffmann, Kevin Rankin, Laura Dern, Mo McRae, Keene McRae, Brian Van Holt, Cliff De Young, Will Cuddy, Leigh Parker, Nick Eversman, Ray Mist, Randy Schulman, Cathryn de Prume, Kurt Conroyd, Ted DeChatelet, Jeffree Newman, Lorraine Bahr, Jerry Carlton, Kevin Michael Moore, Debra Pralle, Gray Eubank, Anne Sorce, Charles Baker (II), J.D. Evermore, Beth Hall, Jan Hoag, Carlee McManus, Art Alexakis, Anne Gee Byrd, Evan O'Toole, Jeanine Jackson, Jason Newell, Barry O'Neil, Barry O'Neill, Richard Morris, Bobbi Strayed Lindstrom, Robert Alan Barnett, William Nelson, Tony Doupe, Dan Considine, Andrew Saunderson, Greg James (XII), Orianna Herrman, Brian Borcherdt, Eric D. Johnson, Matt Pascua, Edric Carter, Matthew Noyes, John Dickerson, Jr., Denise McSweeny, Alina Gatti, Henry Shotwell, Cheryl Strayed",Nick Hornby
29,Demon,2017,,92%,55%,94 minutes,"Art House & International, Mystery & Suspense",R,,Marcin Wrona,"Itay Tiran, Agnieszka Zulewska, Andrzej Grabowski, Tomasz Schuchardt, Katarzyna Herman, Adam Woronowicz, Wlodzimierz Press, Tomasz Zietek, Cezary Kosinski, Katarzyna Gniewkowska, Maja Barelkowska, Anna Smolowik, Piotr Domalewski, Filip Plawiak, Ireneusz Koziol","Marcin Wrona, Pawe? Ma?lona, Pawel Maslona"
30,Their Finest,2017,,90%,72%,110 minutes,"Comedy, Drama, Romance",R,,Lone Scherfig,"Gemma Arterton, Bill Nighy, Sam Claflin, Jack Huston, Jake Lacy, Richard E. Grant, Paul Ritter, Rachael Stirling, Henry Goodman, Jeremy Irons, Eddie Marsan, Helen McCrory, Hubert Burton, Claudia Jessie, Stephanie Hyam",Gaby Chiappe
31,Extinction,2015,,20%,33%,110 minutes,"Drama, Horror, Mystery & Suspense",R,,Miguel Ángel Vivas,"Matthew Fox, Jeffrey Donovan, Quinn McColgan, Valeria Vereau, Clara Lago, Eduardo Fedriani, Matt Devere, Alex Hafner, Jeremy Wheeler, Katharine Bubbear, Lili Bordán, Julio Perillan, Daniel Bargueño, Adam Zambryzcki, Orsolya Bene","Alberto Marini, Miguel Ángel Vivas"
32,Shock Wave,2018,,71%,54%,119 minutes,"Action & Adventure, Art House & International",NR,,,"Andy Lau, Jai Day, Jiang Wu, Julian Gaertner, Rayve Zen",Herman Yau
33,Justice League Dark,2017,,78%,67%,66 minutes,"Action & Adventure, Animation, Science Fiction & Fantasy",R,,Jay Oliva,"Rosario Dawson, Camilla Luddington, Jeremy Davies, Jerry O'Connell, Jason O'Mara, Alfred Molina, Matt Ryan, Dee Bradley Baker, Enrico Colantoni, Fred Tatasciore, Nicholas Turturro","Ernie Altbacker, J.M. DeMatteis"
34,Traded,2016,,40%,32%,98 minutes,Western,NR,,Timothy Woodward Jr.,"Kris Kristofferson, Trace Adkins, Michael Paré, Tom Sizemore, Martin Kove, Brittany Elizabeth Williams, Constance Brenneman, Quinton Aaron, Natalia Cigliuti, Joshua LeBar, Kaiwi Lyman, Michael John Long Jr., Kelly Kristofferson, Hunter Fischer, Carol Anne Watts, David Mattey, Danielle Vasinova, McKenzie Kruse, Rebecca Avery, Pamela Drake Wilson, Alexandria House, Marie Oldenbourg, Anna McNiven, Brian Oerly, James Logan, Henry Penzi, Paula Lauzon, Aaron David, Megan Fabyan Campbell, Destiny Soria, Peter Sherayko, Larry Poole, Shannon Makhanian, Brent Duffey, Jackie Joyner, Bianca Mihailov, Ardeshir Radpour, Kurtis Anton, Sophiah Koikas, Sarah Ann Vail, Angelique Kenney, Joe P. Harris, Kylee Lehe, Daniel D. Houy, Michelle Tedesco, Sein Gay, Annie Hardin, Jenni Wilson, Jon Wyatt Davis, Allen Cardoza, Robert Artz, Lana Esslinger, Robert Mangiardi, Richard Bachellor, John Ryan McLaughlin, Michael Belmont Murray, Roger E. Fanter, Shaun O'Rourke, Roger Groh, Talon Felton, Craigar Lusk, Jenna McGowan, Lisa Cicchetti, Taylor Smith",Mark Esslinger
35,All The Wilderness,2015,,63%,41%,80 minutes,Drama,NR,,Michael Louis Johnson,"Kodi Smit-McPhee, Virginia Madsen, Isabelle Fuhrman, Evan Ross, Danny DeVito, Hannah Barefoot, Jacob Block, Brady James, Tabor Helton, Pat Janowski, Simos Kalivas, Brent Kublick, Dan Considine, Timothy Levine",Michael Johnson
36,The Vanishing,2019,,85%,43%,106 minutes,Mystery & Suspense,R,,Kristoffer Nyholm,"Gerard Butler, Peter Mullan, Olafur Darri Olafsson, Connor Swindells, Gary Lewis, Søren Malling, Emma King, Ken Drury, Roderick Gilkison, John Taylor","Celyn Jones, Joe Bone"
37,Bob Lazar: Area 51 & Flying Saucers,2018,,20%,46%,97 minutes,Documentary,NR,,Jeremy Kenyon Lockyer Corbell,"Mickey Rourke, Bob Lazar, George Knapp, Jeremy Kenyon Lockyer Corbell, Joy White, Phyllis Tucker (II), Layne Keck, Mario Santa Cruz (IV), Zack Slizewski",Jeremy Kenyon Lockyer Corbell
38,The 9th Life of Louis Drax,2017,,38%,37%,90 minutes,Mystery & Suspense,R,,Alexandre Aja,"Jamie Dornan, Sarah Gadon, Aaron Paul, Aiden Longworth, Oliver Platt, Molly Parker, Barbara Hershey, Jane McGregor, Julian Wadham, Adam Abrams, Beckham Skodje, Terry Chen, Randi Lynne, John Hainsworth, Goldie Hoffman, Nels Lennarson, Anjali Jay, Ostara Gardy, Jennifer Derwojed, Lina Roessler, Luke Camilleri, Sarah-Jane Redmond, Anthony Shudra, Alex Zahara, Fiona Vroom, Iris Paluly, David Lloydy Lloyd, David Lloydy",Max Minghella
39,The Grace of Jake,2017,,80%,75%,90 minutes,Drama,NR,,Chris Hicky,"Jake La Botz, Michael Beck, Dorien Wilson, Lew Temple, Jordin Sparks, Ravi Kapoor",Chris Hicky
40,Cruise,2018,,38%,75%,90 minutes,Drama,NR,,Robert D. Siegel,"Spencer Boldman, Emily Ratajkowski, Sebastian Maniscalco, Lucas Salvagno, Kathrine Narducci, Noah Robbins, Gino Cafarelli",Robert D. Siegel
41,Where Hope Grows,2015,,46%,75%,98 minutes,"Drama, Faith & Spirituality",PG-13,,Chris Dowling,"Kristoffer Polaha, David DeSanctis, William Zabka, Brooke Burns, McKaley Miller, Alan Powell, Danica McKellar, Kerr Smith, Michael Grant (XIV), Clyde Jones, Andrew Cash, Drew Cash, J. Teddy Garces, Eric Chase Anderson, Sonya Thaper, Michelle Fine, Ken Arnold, Daniel Harrison Smith, Rebecca Lines, John A. Calhoun, J. Michael Breaux, Richard Hagerman, Phillip DeLaney, Phil Russell, Robert Johnson, Laura L. Parris",Chris Dowling
42,The Trust,2016,,62%,28%,106 minutes,Drama,R,,"Alex Brewer, Benjamin Brewer","Nicolas Cage, Elijah Wood, Jerry Lewis, Kevin Weisman, Steven Williams, Sky Ferreira, Alexandria Lee, Ethan Suplee, Kenna James, Carl ""Carlito"" J. Windom, Lisa Mack, Marc D. Donovan, Keston John, Joe Palubinsky, Tommie Vegas, Jay Hieron, Eric Heister, Marc Donovan, Ronnie Thurmand Jr., Erica Vanlee, Tommy Vegas, Christie Beran, Jeff Manning, Ronnie Thurmand Jr., Jeff Howard, Reagan Pfifer, Ashley LeConte Campbell, Vanessa Christelle, Paul Vato, Xin Yi Gan, Zhang Jianming, Marcus Weiss, James D. Smith Jr., Lisa Gardner","Adam Hirsch, Benjamin Brewer"
43,Harold And Lillian: A Hollywood Love Story,2017,,97%,88%,100 minutes,Documentary,NR,,"Daniel Raim, Francis Ford Coppola, Mel Brooks, Danny DeVito","Lillian Michelson, Harold Michelson, Danny DeVito, Francis Ford Coppola, Mel Brooks, Gene Allen, James D. Bissell, Rick Carter, Stuart Cornfeld, Tish Hicks, Bill Krohn, Patrick Maté, Anahid Nazarian, Norman Newberry, Richard Sylbert, Will Vought, Thomas A. Walsh, Marc Wanamaker","Daniel Raim, Francis Ford Coppola"
44,I Kill Giants,2018,,77%,78%,104 minutes,"Drama, Science Fiction & Fantasy",NR,,Anders Walter,"Imogen Poots, Jennifer Ehle, Madison Wolfe, Noel Clarke, Zoe Saldana",Joe Kelly
45,Court,2018,,98%,80%,116 minutes,Drama,NR,,Chaitanya Tamhane,"Chaitanya Tamhane, Geetanjali Kulkarni, Vira Sathidar, Vivek Gomber, Usha Bane, Shirish Pawar, Chaitanya Tamhane, Brad Virata, Pradeep Joshi",Chaitanya Tamhane
46,Colonia,2016,,26%,60%,110 minutes,"Art House & International, Mystery & Suspense",R,,Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey, Vicky Krieps, Jeanne Werner, Julian Ovenden, Martin Wuttke, August Zirner, Nicolás Barsoff, Stefan Merki, César Bordón, Lucila Gandolfo, Johannes Allmayer, Gilles Soeder, Katharina Müller-Elmau, Paul Herwig, Etienne Halsdorf, Jules Waringo, Johannes Frolich, Lauren Jane Pringle, Alexia Moyano, Lydia Stevens, Natalia Señorales","Florian Gallenberger, Torsten Wenzel"
47,bwoy,2017,,88%,50%,85 minutes,Drama,NR,,John G. Young,"Anthony Rapp, De'Adre Aziza, Jimmy Brooks, Drew Allen (IV), Jermaine Rowe, Ashton Randle, Samiyah Thompson, Jonathon Moore",John G. Young
48,Vincent N Roxxy,2017,,41%,67%,102 minutes,Drama,R,,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Scott ""Kid Cudi"" Mescudi","Gary Michael Schultz, Keith Kjarval"
49,Good Kill,2015,,75%,49%,103 minutes,Mystery & Suspense,R,,Andrew Niccol,"Ethan Hawke, January Jones, Jake Abel, Zoë Kravitz, Bruce Greenwood, Kristen Rakes, Akshay Patel, Alma Sisneros, Michael Sheets, Dylan Kenin, Bill Seward, Stafford Douglas, Rich Chavez, Sachie Capitani, Stephen M. Hardin, Jahan Khalili, Jessica Stotz Harrell, Edric Ray, Colin Jones, Ross Shaw, Peter Coyote, Kevin Wiggins, Zion Leyba, Ryan Montano, Fatima El Bahraouy, El Khttabi Abdelouahab, Chakir Faiz",Andrew Niccol
50,Prospect,2019,,89%,71%,97 minutes,"Science Fiction & Fantasy, Western",R,,"Zeek Earl, Christopher Caldwell","Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover, Luke Pitzrick, Arthur Deranleau, Alex McCauley (II), Doug Dawson (IV), Krista Johnson (VIII), Brian Gunter (III), Trick Danneker, Christopher Morson, Ben Little (IX), Shepheard Earl","Zeek Earl, Christopher Caldwell"
51,Chef Flynn,2019,,73%,,83 minutes,Documentary,NR,,Cameron Yates,"Flynn McGarry, Paris McGarry, Peggy Daniels, Dominique Crenn, Jesse Escobar, Will Guidara, Will McGarry, Robert Arnold-Starr, Daniel Humm, Bernhard Mairinger, Matthew Mako, Jonathan Michael McClune, Christopher Moreno, Danielle Haxton, Vidal Nunez, Cecelia Romero, Meg McGarry, Kris Morningstar, Huy Nguyen, Roberto Romero",
52,The Yellow Birds,2018,,45%,44%,100 minutes,Drama,R,,Alexandre Moors,"Alden Ehrenreich, Tye Sheridan, Toni Collette, Jason Patric, Jack Huston, Jennifer Aniston",David Lowery
53,The Immigrant,2015,,85%,60%,120 minutes,"Drama, Romance",R,,James Gray,"Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk, Yelena Solovey, Ilia Volok, Maja Wampuszyc, Jicky Schnee, Angela Sarafyan","James Gray, Ric Menello"
54,Hangman,2018,,5%,28%,98 minutes,"Drama, Mystery & Suspense",R,,Johnny Martin,"Brittany Snow, Al Pacino, Karl Urban, Sarah Shahi, Joe Anderson (VI), Chelle Ramos","Michael Caissie, Charles Huttinger, Phil Hawkins"
55,The Kidnapping of Michel Houellebecq,2015,,91%,66%,93 minutes,"Comedy, Drama",NR,,Guillaume Nicloux,"Michel Houellebecq, Luc Schwarz, Mathieu Nicourt, Maxime Lefrançois, Françoise Lebrun, Ginette Suchotzky, Andre Suchotzky, Marie Bourjala, Francois Samuelson",Guillaume Nicloux
56,Runoff,2015,,83%,79%,90 minutes,Drama,R,,Kimberly Levin,"Joanne Kelly, Tom Bower, Alex Shaffer, Rashel Bestard, Darlene Hunt, Neal Huff, Joseph Melendez, Brad Koed, Kivlighan DeMontebello",Kimberly Levin
57,Lilting,2015,,83%,80%,91 minutes,Drama,NR,,Hong Khaou,"Ben Whishaw, Pei-pei Cheng, Andrew Leung, Peter Bowles, Naomi Christie, Morven Christie, Shane Salter, Peter E. Hopkins, John Matthews, Leila Wong",Hong Khaou
